,ordinary_comment
126,这部片与mw今年片的区别在于，这部片真的打动我了，虽然他有些方面还是很套路话化，还有点尬算不上上乘之作。但至少我看到了温导的诚意和dc的改变。
127,初雪的上海 趕赴一場講述愛與成長的故事 視效走心 大洋逐個過場  偶有幾句質量過硬的句子  西西里島的古羅馬雕像是最下案頭功夫的了 劇情 人物性格簡單  台詞和戲份均少的亞瑟生父深情到難以忘懷
128,哈哈哈哈哈哈，三星全给特效！海王还是没穿金皮甲的时候可爱～故事稀烂就当爆米花电影看看过过眼瘾就好啦！
129,"这不是我想要的DC电影，就一大爽片无脑嗨，估计又是一部中国票房超北美的电影，希望票房好了还能有TDK,MOS,BVS出现吧"
130,一部具有温子仁特点的非典型性英雄大片。（海王的老爹造型实在是太弱了，陆地戏份一般，但进入海洋之后就开始奇观呈现。很多镜头转场、剪辑等亦非常可圈可点。）
131,虾兵蟹将的内战，会多国语言的陆上海下都吃香，最牛B的招数叫做同声传译。湄拉是女司机之光，反派的父子情居然感动到蜗了，无敌风水轮跟前面的特效比弱了点。海底的视效毫无侧重点导致审美夜总会。最大槽点是海王的任命是在海面/陆地上的，为买票入场的吃瓜海洋群众们表示不平。ps:细节不到位，跟朋友们一边看一边吐槽是另外一种欢乐 2333
132,3.5
133,空洞的精致英雄片。
134,老套 2018.97
135,好失望 除了几场的画面以外 一无是处
136,全程像在看异星电影，说吧，你们向86版《西游记》学了多少~
137,18127#跑酷像在看速极，鱼爬上船像在看恐怖片，女主角的红发就是典型的人鱼形象了吧，海王最后的黄金鳞片简直太难看了，妮可基德曼很美反正我喜欢，其它这个那个没什么太明显的缺点，就是太无趣了，中间真的看得我以为要睡过去了，不骗你
138,"憋了这么长时间，还是说点题外话吧。
超级英雄，更爱日系，日系更爱奥特曼，奥特曼更爱昭和系，昭和系更爱赛文，赛文更爱《我是地球人》，因为有人文关怀，有历史反思，有人与自然的二元辨析。
美系不是没有扛把子，而我只认没有超能力的蝙蝠侠。蝙蝠侠只爱黑暗骑士系列。
此后，漫威也好，DC也罢，陷入了票房，政治正确，IP等太多窠臼，矫情点说，忘了人本。
即便复联系列，看似高屋建瓴，俯瞰人世，也不过是“救世主情节”的反其道而行之。
现在这世道，恶人遍地，也只能在大荧幕上自慰。
算了，你们开心就好。"
139,叉王争霸战之混血王子。嗯，什么避水金睛兽，母夜叉，虾兵蟹将章鱼怪，鲨鱼精海带精悉数登场。瀑布后面去找金箍棒，不，亚瑟王找的是石中剑，也不是，是他太姥爷波塞冬留下来的五股锻金矛尾钢叉。话说这叉自带装甲属性，一旦蓝牙配对，就附送一套贴身软猬金甲。这片子顺便还解决了一道世纪难题，女友和老妈一起掉水里先救谁——结果是老妈把女友救上了岸。仙女老妈对银甲弟弟说，别和你哥哥争王位，你发型好可装备不行啊～女主老爹本来还带着一队金枪鱼来裹乱，一看自己闺女和男主好上了，心说总算闺女可以嫁出去了，还能混个皇后，立马就大叫，以后这个就是王～
140,公映3D
141,我是越来越不喜欢看3D了。前些年也被《阿凡达》惊艳过，近年印象深刻的则有《奇异博士》，但总体而言，不知是3D技术做得越来越水，还是院线的3D设备越来越省钱，总之是画面越看越蒙，色调越看越暗，都快把人搞成睁眼瞎了。再说影片本身，大片我看得真的太少了，但还是能看出来它有时像《阿凡达》有时像《千星之城》有时像《超级玩家》，惊叹往往只是一瞬间，马上就会被似曾相识所取代。另外它构建的海底世界，在个人想象中应该是以蓝色为主，围绕这一冷色调所作的构思也应该以冷兵器为主，可在本片中，海水里面动不动炸出一团火球，火焰和燃烧的介入，把海底和太空都快混淆了，特别是色彩这块，和个人理解的海洋的美感，还是相距甚远。
142,"完全是一个普通的科幻电影被豆瓣弄得虚高了，特效依然是非常优秀，打斗场面依然是震撼，但剧情好像简直是从儿童书上面搬出来的，至于画面就好像是各种影视的结合版，整部影片都好像是在为人类的罪行辩护，期待影片能把主题上升到环保，期待海王能解决人鱼共存的问题，期待海王可以现在联合国的舞台上……结果最后人类不知道有鱼人最后还不知道有鱼人，影片完全是接着“海洋”的壳，演了一场君王争夺战，虽然发起战争确实不对，难道不跟人类打就能解决问题吗？
海王争夺到了王位，他真的争夺到民心了吗？秦汉时选官是看出生的地位，想不到DC也玩这把。本以为彩蛋可以告诉我点什么结果就是个超级英雄电影最标准的彩蛋。
但我依然讨厌用看文艺片的标准来看待科幻片，整部片子的画面，导演也算是用心了！"
143,镜头很温子仁 剧情各种牵强 又被营销了 
144,1.视觉效果很牛逼  2.炫目的海底世界也不能掩盖故事的单薄  3.在一定程度上证明了混血儿的基因优势（？）  4.海王的魅力太弱，比不上又美又酷的公主，最后的考验靠嘴炮，还证明了终极决斗里装备很重要  5.不抱过分期待去看还是可以爽到。7分。
145,很多中国元素，海王很帅，战衣很丑，大金链子既视感。打斗戏不吸引我。最喜欢的一段反而是海王和红发女在西西里岛闲逛。剧情主线上，我觉得开头是反血统论的，但落脚点又还是血统论了。一些剧情硬凹，什么单向门啥的。最后就是作为一个环保片，人类没受到啥教育嘛。海底下打得生灵涂炭的陆地上人们还啥都不知道。
146,温导你能不能专心去拍恐怖片？这部电影唯一的优点就是看起来很好吃，那个大钳子和触手是椒盐好还是清蒸好呢？
147,豆瓣8分是认真的吗？大概是对胡子拉碴，满身都是纹身的男主第一观感就很差……特效真的惊艳，海底美轮美奂，女主也蛮美的，包括男主他妈也蛮美……不过故事真的简单的不能再简单，也没什么新意…
148,吹过头了……郭敬明的配色，爵迹的3D 动作，不像一部电影，也不像好的动画片，差不多更接近一部游戏的动画那种水平。这部游戏应该抄了雷神，狮子王，西游记，圣斗士（海皇篇）等等。目测没找中国的动作指导，打起来特别土。如果黑客帝国的格斗技术跟孙悟空差不多，那么海王也就到了 NBA 球星打架的水平
149,特效很棒，故事一般，如果我是弟弟，大概会气死：事业事业没了，爱情爱情黄了
150,一个大男孩被媳妇和老妈push得让人心酸 明明他不想要那个王位和那把大叉子。身边好多东北女的就是这样，头拱地也要让老公和儿子有出息，不惜自摆苦肉计道德绑架老公和儿子。最后一刻他还在迷茫地问她媳妇：我打赢了然后该干啥？媳妇骄傲地站出来宣布自己老公赢了要称王，红发老丈人第一个俯首称臣
151,真的对什么“史诗”“宏大”“巨作”无感，凭什么让观众去理解和学习一切都是基于人类世界认识观出发的片子？？
152,3.5/5 真心觉得在看西游记东海龙宫，水族馆里的鲨鱼好可爱啊。温子仁把弟弟出场弄得好帅，但后面那个黄金圣斗士妆什么鬼。美术巨精分的地方就是独角兽色和夜店色用得不错啊，但金色用得都好jb丑和山寨！真的太受不了最后那个金甲圣衣了啊啊啊啊啊啊，继续让杰森摸吗光着不好么！我站（老）小王子啦，最后来一句“爱拯救世界”（WW也有这句，一毛一样！我当时还吐槽过这话要演出来不要念台词念出来）并没解决垃圾陆地人专坑海族这件事（中间n次被突然爆炸吓一跳，基友说是温子仁恐怖片拍多了233333
153,DC版牛郎织女后传吗？海王的人设多少有点像雷神。说实话看了预告很失望，但正片倒是好看的，至少爽感做得不错，最喜欢西西里岛上那一段，还是有些创意的。不过两个关键的转折点靠的全是“命中注定”？这种套路也是让人瞠目结舌，导致我后来对于反派奥姆王产生了某种同情。还有就是主题是“同一个世界同一个梦想”吗？愿景是好的，但左得有点过头。
154,七分。海底两万里的特效 人兽鱼舰的战斗都是极好的，但是缺少故事 看不到海王的成长。导演没有讲海王与父亲的感情 也没有仔细讲海王的心理变化 就算被推着走 也没有给出足够的动力。好作文从来不是靠把字写漂亮拿的高分
155,不能说不说好但是就分数来说，对好多七分多的电影不公平。咸水族，海鲜大咖来咯，客官里面请。琥珀美，比年轻的基德曼还美。
156,对超英电影已经无感了，尤其是这部电影在水下没有物理概念的夸张感觉很脑残。
157,感觉如今超英片难有突破啊，故事和中规中矩，但是视效非常棒，有的时候会觉得自己再看space film，1.6亿，温导绝对是成本控制高手。奥姆挺惨的，亚特兰蒂斯之王被身边的所有人背叛，而且是从小背叛，但是导演待他不薄，最好看的打斗场面是跟着他的脸拍的，啧啧啧。其实与其说这是aquaman诞生记，不如说这是King Arthur成长记。以及，我特别喜欢第一次梅拉带亚瑟去海里，集装箱旁边漂浮的啤酒包装塑料这种细节。人类啊，善待海洋一点？edit:昨晚仔细想了想，发现我还是真的不喜欢这种武力决定权力，born to be的人物。完全看不懂Vulko的人物逻辑。
158,剧情一般，特效惊人，主角养眼，雷神同款男主+蚁人2老妈没死桥段+黑豹兄弟争权戏码
159,比黑豹难看3倍
160,都是套路，但是看得很高兴~
161,除了没剧情，其他什么都有，温子仁目的性很强，而且大抵比较成功。
162,海娘家里打架、海王兄弟首次干仗、意大利小岛追逐、海洋生物大战四处小长镜头调度值得欣赏，温子仁标志性的跟随目标侧转镜头开场潜艇内已展示，以及突然惊吓。接下来全是缺点，奇观和世界观的堆砌，硬要把不可能容下的东西塞进一部，不停地科普背景、不停的堆砌奇观，不是在打就是在说，基本做到了但凡能说出来就不靠镜头叙事，最好是边说边闪回一边儿有画面一边儿口头儿讲解，标准的反电影主义者阵营大餐。一部好莱坞大片儿看完不知道主题音乐是啥，哼不出来，已经说明问题了，没有主题的电影难有带主题的音乐，东一榔头西一棒子的剪辑和过多条线，都难以让配乐做到每段与每段衔接，相映成趣就别说了，根本就是一花一世界，一段一旋律，不但如此还致力于章章都带感，段段都起范儿，完美做到了段子电影的高度。
163,收回五星预评。四星上限了。剧情实在平庸到无趣，没有半点嚼头，人设方面海王身为主角还没有正联出场来得有意思，光芒全给周围的人盖掉了。视效上瑰丽的场景全在海底…不过没有达到我的预期。配乐除了引用开头西瓜肉丝的那首就没有令人欣喜的了，还是很平庸，达不到BVS Hans Zimmer的万分之一（为扎导不值，厚重的经典因为众人不懂欣赏就低评，纯迎合大众的炫视效之作就炒热）。最后…全篇我唯二喜欢的是奥姆和黑蝠鲼我会说？
164,2.5吧，每个场景都跳脱啊，各种不搭，看得一路睡着。。。
165,特效很牛。故事就是爆米花了。
166,好中二的片子&妮可基德曼都演男主他妈了...
167,迪斯尼风格的春晚合家欢，色彩比老谋子还鲜亮。适合领小学以下小朋友去看。
168,#ComboPack##BestValue##Amber演啥都美##除皱厉害#温导解放摄影机的手法好Literal……然而节奏感即使单场戏里也很糟糕啊，而且音乐啊不是一切声音的品味SUCK ASS#SkylarIStillLoveYa#
169,( ･᷄৺･᷅ )唔。。。可能我越来越挑剔了 画面是绚丽无边，但是这个剧情真的让人起不了波澜，永远都能想到下一秒故事进展。虽然一直是个声效画面控，但是故事无法让我有哪怕一丝丝的触动的影片，我也还是会只给3星而已。诚意满满值回票价是真的，boring也是真的。就，所有的英雄大片都要有主角或者配角是混血，另一个对主角生出妒恨然后打打打的框架模式吗？越来越觉得一直喜欢的杰克船长多么独特，亦正亦邪不务正业的主角才是真的超有趣阿。【以及，我笑点太高了？真的是全程面无表情看完，所谓的笑点部分真的。。。呃 尬】
170,妮可扮相粉嫩得，感觉海马和帕帕都是她男朋友，抱着头母子情深的场面总感觉要亲上去了——尤其是跟帕帕说I love U的时候……好变态
171,挺中二的，不得不承认温子仁给DC宇宙里的严肃癌打了一支发骚针，整个观影过程被杜比全景声之类的音浪轰得我东倒西歪，感觉空气都在发浪，但论精彩的除了男主亮相时的媚笑，以及从悬崖上摔下去的弱爆了的铁皮小黑哥惨状，其他也没什么印象，温子仁保持了一贯力拉崩倒的气势以及能省则省的制片观，会算账的导演还是蛮重要的
172,故事老套，也就特效还不错而已
173,这种大概就是不太有感但为了场面必须去影院看的电影。故事弱的没法说，服装道具觉得是3D打印的，最后海王一身成熟玉米装出来简直了。
174,好像很一般啊，几个旅游观光片+一阵洞洞光光轰轰
175,好像儿童片……
176,龙宫征取定海神针。既然都温子仁了那海王他妈应该让维拉法米加演啊
177,三星半，并没有传说中的惊艳，只能说是一部完成度还不错的商业片罢了，与阿凡达这种开创宏伟新宇宙世界观的类型片根本不是一个档次的。片子场景借鉴了很多阿凡达和海难片的架构，人物造型则是阿凡达+异形+超级英雄+星球大战+星际争霸……，故事情节是三千里寻母记+哈姆雷特+欢喜冤家+夺宝奇兵……标准拼凑商业片的模式，不知道为啥那么多人沉醉于男主的身形和他爸妈的狗血恋情中……
178,特效牛逼哄哄，剧情还是有点弱，就是黑蝠鲼怎么弱鸡成这样了？？？尤其是那个头盔，看一次笑一次……
179,"“我不想当国王”
“我不想当国王”
“我都说了我不想当国王，你们别逼我了”     
“真香”"
180,就是把西游记 指环王 加勒比海盗 木乃伊 哈利波特 功夫熊猫 侏罗纪公园 星战等多部类型片的次要设定凑一起的片嘛，，
181,一颗星特效，一颗星视觉奇观，一个星表演。 大制作剧本套路一点可以理解，不过这音乐品味啊、人物弧光啊……海沟族才是正片开始
182,238/优缺点十分明显了 吹的还是有点过罢 炸裂的特效也挽回不了剧本的平庸 anyway仍是一场视觉盛宴 imax看的很爽 以及被湄拉的颜圈粉惹
183,哈哈哈这电影看得我很想吃海鲜大餐诶！海沟国的拿来油炸，撒辣粉。咸水国的避风塘或者清蒸。餐具当然用黄金三叉戟。老公看了1/3就睡着了，我说，你必须把自己的智商调节到五岁，一切就很精彩了！
184,剧情本身非常的简单和无聊，全靠宏大精美的特效撑起全片。男女主完全不来电全程尬聊，还穿插各种生硬的笑点。男主柔情铁汉萌萌哒的人设也很失败，耍宝卖萌充满违和感。三星全给特效和想象力丰富的海底奇观。
185,3.5，温子仁有点徐克的意思，用填鸭式奇观喂饱视听，深海元素不可谓不琳琅满目，夜景飙车，角斗爆炸，夺宝决战，样样都是大场面，但似乎缺了些深海式的alien感，总还是虾兵蟹将版的三百勇士，倒是西西里跑酷在两个平行舞台调度，相当炫技。英雄叙事在异域环境内爆发视觉大秀，试图用超能将人的困境延展为史诗。
186,都准备买票了，才发现北美比中国晚上映两个礼拜，好气哦🙄
187,妮可基德曼出现时，那身亮片贴身衣服呀，这审美是有大西洋底来的人那么古老吗。爱情、亲情都没空表现了，只有配色土得掉渣的海底特效可以看看了，所以一定要选个舍得用电的影院。
188,杰森嫁（cao）我。
189,7.5 开头亚当斯虐文斯卡特把我看乐了。君权神授什么的太无聊了，拯救世界的方法是杀一大堆同胞也够了，还是搞克苏鲁怪好一点。衣服是丑了点，不过画面绚烂，作为商业片显然是合格的。
190,每一帧都是特效，每一秒经费都在燃烧。海沟族那段夹带了些恐怖片手法的私货，新奇。剧情偏弱，场面宏大不等于格局宏大，比起蝙蝠侠黑暗骑士还是差远了。
191,一部大杂烩。/海王的大招不过是齐天大圣的基本操作嘛。
192,讲的是一个人，靠着尊贵血统和运气，没怎么努力就获得了无上权力并且抱得美人归的故事，吹得太过了，高饱和度的打斗场面显得俗气，看的眼花，服装武器建筑没有充分展示海底世界的特点，搬到太空一点都不违和，加分点是完成度还行，摄影不错，零星几个打斗场面还算精彩，以及两个女神颜值能打，7/10
193,特效是厉害的，剧情是赶的，人物是没有说服力的。几段戏拿出来看蛮不错的，mera和arthur在西西里和在沙漠的几段戏还是挺可爱的。粑粑麻麻导师都没死，有点不习惯了（另外弟弟也太老啦！
194,[世界][亚瑟·水行者]获得全服第一把橙武[亚特兰蒂斯之失落的三叉戟]
195,同是苦大仇深的身世、同是艰难的为正义而战，温子仁导演的加入，并没有改变DC严肃暗黑的主基调，不过却为影片抹上了一道亮色，比如“海王”本尊的救世觉悟就并没那么高。该片视觉特效的想象力及影像奇观的呈现的确很牛，说是海底版《阿凡达》《指环王》《星球大战》《侏罗纪世界》《速度与激情》…都毫不夸张。好吧，那场的海鲜大战确实唬住了我！但影片的故事则老套，可以看到N多影片的影子，比如漫威《雷神》《黑豹》“兄弟相杀”的主线结构及人设，比如《黑豹》那样明明无敌高科技却以传统的打架来决胜负，比如有咸蛋超人的中二风格，比如海王与三叉戟就非常雷同我们的孙悟空与金箍棒（水帘洞都一样）…另外，片中各元素塞得满满，片长143分钟略疲惫。其中男女主角的爱情戏颇为失败，还不如父辈那一小段爱情戏来的动人， 妮可·基德曼魅力也秒杀女主
196,非常cliché，明明已经是海底生物却穿盔甲，一股山寨星球大战的感觉；而且明明有魔力却用冷兵器打来打去，最后还是谁力气大谁赢，8102年了啊。
197,海鲜盛宴！！！濑尿虾和章鱼扭打在一起了！！！海蟹！！！海蟹军团出现了！！！天呐你看那个蟹钳又肥又厚！！！咸水国的子民看起来都很适合清蒸！！！加点料酒葱姜蒜都不用放盐！！！最后绝杀大招是跟悟空学的吧！！！天呐看完之后太想吃海鲜了！！！
198,纯娱乐片，有点看大闹天宫或哪吒闹海的错乱
199,贼尖儿无聊～几度串戏到 千星之城～可以说跟千星之城一个毛病：主角毫无魅力还又臭又长
200,海王亚瑟没欲望，国王奥姆没脑子。几个段落是打不过弟弟，抢弟弟女人，找到妈妈拿武器，干掉只会人海战术的弟弟成为王……
201,万达IMAX  特效不错，故事老套，都8102年了还是兄弟争权夺女人
202,因海王过分相似徐锦江而无法投入剧情
203,视效场面可看，故事老套粗暴，反派槽多无口。观影过程中脑海蹦出：孙悟空、沉香、张无忌、印第安纳·琼斯、少年派、黑豹、霍比特人史矛革、小美人鱼红发绿身配色、《蚁人2》和《驯龙高手2》的妈梗、《星球大战》暴风兵装备、海绵宝宝去珊迪家戴的水头盔……超英弟弟多混账，当哥的能咋办还不是选择（揍几顿）原谅他？发现海王演员眼睛有点外斜视，大银幕看略明显；居然没等到威廉·达福和妮可·基德曼的感情戏，我已经脑补了三千字女王忠犬文啦。
204,很一般啊，故事太四平八稳，可以说是偷懒了，特效还不错，但也看得人内心毫无波澜。但拿来和阿凡达比，真不知道想法怎么来的。场景必须为剧情服务，否则太无趣。
205,吹，继续吹……感觉整部电影导演只有在拍密集怪物袭击船的时候做回了自己很开心。
206,失望
207,场面宏大炫丽，场景布置道具设计都很用心多元，可惜也可惜在设计的多元上，冷热武器的对撞没有装出火花反而让打斗别的更加混乱，审美疲劳后则新鲜感全无。再加上剧情和漫威的黑豹同质化严重，只能说完成度比较高。温子仁的御用男主反派当的真窝囊。
208,咋个再多的特效也无力解救剧情的孱弱……
209,"还是没有办法get温子仁啦。（据说温子仁只用了1.6亿美元的预算，好了，省钱小能手，我get到了！）
前半段比较温吞，后半段才好看起来，片子实在太长了。
视效和动作设计真没话说，水中镜头本来就比较难做，最后这个效果算是超出预期啦。

海王的经历告诉我们，掌握好一门外语是多么重要。语言不仅仅是连接两个世界的桥梁，更代表着对两方世界的尊重。所以这部片子其实给缺乏身份认同的混血儿指明了一个新的方向——外交需要你们。
Nicole虽然正面有点僵，但侧颜无敌杀。"
210,可能期望有点高，并没有觉得剧情特效特别好看。但是男女主的颜值身材都太是我的菜了～另外青年海王有点像最近头发超级长的坤哥……哈哈哈
211,海洋和陆地的孩子连接海洋和陆地，故事和人物传统正派到不行。看人物在水里讲话总觉得他们嘴里应该冒出泡泡，全程觉得自己快要憋死了，另外最后的金色盔甲不能直视。
212,被豆瓣评分给骗了，失望，套路。别拍下一集了，反正我不看。最喜欢的是海马。
213,好费钱噢？？爆舔胸肌腹肌人鱼线一分、Nic颜值一分、海鲜大杂烩一分、什么？惊喜的剧情？不存在的
214,发现温子仁不可信 还是去拍鬼片吧… 这审美没谁了 通篇大写的尬
215,我对五光十色的特效没有意见，我对温导的恶趣味没有意见，只是当Aquaman穿得跟个穿山甲一样在海里大杀特杀的时候，我会怀念那个纠结许久，痛苦地拧断自己最后一个族人脖子的超人。而现在，好像只要Amber Heard半个奶子甩在眼前一切就都顺理成章地发生了，我们的英雄就轻飘飘地成为了海王。Long Live Marvel!
216,把宇宙战舰搬到了海底的感觉，但是很多地方觉得非常尬，而且剪辑至少4~5处很突兀，看的时候都觉得是不是这么多好评都是刷的啊……
217,爱好和平，天下无敌（翻个白眼）。
218,虽然海王很帅，不过确实很沙和尚啊？这种片子七分多差不多了
219,作为前传剧情套路.段落感明显.仪式化的场景呈现不断强调其传记史诗定位.沿袭DC一贯以之神如何为人的脉络.温子仁擅长的惊吓桥段让情节始终保持张力.海沟王国母女重逢力取三叉戟的桥段魔幻至极仿佛穿越加勒比海.驾驭八尾神兽独战众王的宏大炫丽场景媲美中土混战.情感线太扁美中不足.服化道略雷
