,praise_comment
12,"我收回妇联3的五颗星，文艺片才不分高下，商业片只争第一，今年第一，海王。瓦坎达野人方阵在海马禁军和克总触手、闸蟹狂战士面前没有一丁点排面，没有！泰坦星战士用虫海丧尸战术和铁人三项杀敌？多发展几万年全转基因紫薯去了？你打嘛呢弟弟？打不来架就不要打。啥叫格局，海王振臂一呼，
诸天鱼虾蟹卒，听我号令，天不生我阿Q曼，DC万古如长夜，封狼烟，点海马禁军千骑，撒孜然百缕，随我先斩MCU后军贼首，得胜归来，共饮索尔神血，赏汝千杯！杀杀杀！DC干死漫威，亚特兰蒂斯万岁万岁万万岁！"
13,DC这明显是拼了啊，完全放开手脚让温子仁施展才华，电影俨然是在一部超级英雄的起源片基础之上，拍摄成了海底版《星球大战》，剧情杂糅了科幻、动作、冒险、奇幻史诗甚至是克苏鲁恐怖元素，想象力和娱乐性几乎已经做到了极致，尤其是温子仁在动作场面上的调度实在令人惊叹。这固然不能说是最好的DC超级英雄片，却一定是近两年最酷炫的超级英雄电影，温子仁确实给DC立了一大功！！！
14,观影的时候被没收了手机，反而获得了极致的观影体验，建议推广。第一次在影院有了在海底的压迫感，这种体验即使在海洋馆都没有的，但是温子仁做到了。亚特兰蒂斯这种看似沉闷的题材，也拍的很现代很诙谐，并不黑暗。父辈的爱情太美好了，妮可基德曼美到犯规！这个人是妖精吗？为什么不会老呢？海王总会让我想到雷神，一样的无脑大块头，不过海王要成熟一丢丢。观影过程中总忍不住吐槽，如果有弹幕一定非常精彩了，骑海马打仗，把水母做成衣服，科维长得像猴子就算了，还教海王把三叉戟耍成金箍棒，真的不是孙悟空吗？另外，三叉戟的本质就是个WiFi吧？有了之后信号突然就畅通了……
15,弟弟太惨了，妈不爱，爹没了，老婆跟人跑了，王位被抢了，信任的人早就跟别人跑了，我要是他我也要毁灭世界了😂
16,满足了年少时自己对海洋的所有幻想。杰森·莫玛凭一己之力掀起了长发狂野糙汉的审美新潮流，隔壁雷神克里斯·海姆斯沃斯大型溜粉现场？
17,找一个亮堂点的IMAX厅，绝对爽炸
18,【B-】不太像指环王，倒更像一出深海版加勒比海盗。以寻宝冒险作故事主线，带领观众在影史上最瑰丽宏大的海底世界浩瀚游历了一番。从亚特兰蒂斯到远洋海沟，一个个场景让人瞠目结舌。缺点是剧情套路，海王的人物塑造简单，成功基本靠天赋一路开挂。anyway，好看就够了（ps.温子仁还是没忍住塞了几个jump scare）
19,温导这是比着指环王在拍啊，这特效叹为观止
20,温子仁就是牛！！海王的Man真的男女通吃啊啊啊啊 ！
21,放心去看。幼稚园爱情，深海驱魔式窒息，比素鸡更成熟的大场面运镜，远超MCU的动作指导，反派人格塑造，这是完全的的温子仁风格。别出心裁混合了Cyber效果，配合电音，有的段落特别、特别Tron！还有雨夜决战扎导式慢镜+45度仰角cape porn，是温导写给PW的情书。七国设定炫目而让人信服，必买设定集。它不完美，海王性格必然和原作有差，但是瑕不掩瑜，也为超英片带来了新的元素。如果正联完全是扎导的正联，那么我现在可以感叹What a ride了。你们知道吗，最妙的是，你甚至可以从中看出MOS😭
22,一个绿了别人的人的儿子绿了被绿的人的儿子的故事……
23,女王：维科，这是我大儿子，剩下的话不用我多说了吧，以后该怎么办，你自己招子放亮一点，好处不会少了你的。维科：晓得了。
24,午夜场演罢，全场掌声雷动，粉丝们积压了整整五年的怨气得到释放，这注定会是一部让DC赢回观众的“里程碑”之作。尽管内核老套，文戏尴尬，人物成长脉络敷衍了事，但西西里岛永远不会让人失望，温子仁将简单有效的技法全面升级，从那儿开始眼球便不忍离开银幕。妮可·基德曼最后捧着帕特里克的脸似乎要说：“儿啊，做王终究不是属于你的道路，驱魔才是你真正的归宿！”心疼渔夫国，净产出些诗人和哲学家，在海底世界得不到权力的尊重和认可，这难道不就是你瓣吗？
25,1、全程舔腿。海王、湄拉、妮可的腿加起来有十米长吧…温子仁还老是仰拍…腿控福利不解释。2、意大利大战黑蝠鲼，屋顶跑酷帅到炸裂。湄拉出彩，动作戏干净利落，脸又美。有个进攻瞬间让我想到另一位红发女超英。3、到达海沟族那场戏，绝了！！不愧是温子仁，这什么神仙cult脑洞！！！镜头一拉开，情不自禁卧槽出声，年度十佳场景预定。愿意为这场戏二刷。4、野心大，场面大，每一帧都是钱。（虽然鲨鱼坐骑和沧龙总让我想起西游记…）5、世界观塑造很完整，人物个性也出来了。因为交待背景的关系，前面文戏稍有点长，但是进入海底世界后就一路高潮到尾，总体又猛又爽。6、DC粉感谢温子仁吧。起码是这两年最有创造力的超级英雄大片了。
26,7分。温子仁确实很厉害，原以为这该是系列中最无趣的一部，尤其各种水下戏份。结果，却难得拍的很好看。影片节奏感和大场面掌控上，确实很见功力。以及，温子仁还融入了很多他自己的趣味，也算很有趣的细节了。整体可看性还不错，就是略长了，海底的光怪陆离，看久了也会有些视觉疲劳。
27,语文不好，牛逼就完事了！阿凡达之后最牛逼的视觉大片！没有之一！
28,美轮美奂的2个多少时，海底的几个镜头简直美到爆炸！感谢豆瓣观影团！
29,东有沉香劈山救母，西有海娃寻叉救母。绿色秋裤哲学变身，刺身放题海底大战。同母异父兄弟相残，弟妹大伯不伦之恋。温子仁携手徐锦江，亚裔之光拯救好莱坞！
30,渔夫和灯塔守护多数是鳏夫，私下里经常养一些人鱼交欢。海洋远比陆地深远得多，人们赞美阳光下的海洋，却不知深夜降临海面上会冒出可怕的妖怪，海底也会藏着嘲笑人类的高级文明。所以！温子仁同样是一个借大热系列ip来讲自己故事的导演！！
31,DC真人版终于干过动画版了，海底的特效就是要用在真人版上才过瘾～
32,故事老套了一点 但是昨晚我的主要任务是努力让自己不要在影院里发大水…Jason太尼玛适合这个角色了，就算他能轻而易举的把我操坏我也心甘情愿地承受这份痛苦
33,我宣布！2018就是骨科文艺复兴之年！！！
34,C＋/ 前半段还以为不过是插科打诨强行炫视效卖动作复古美术的海洋版《黑豹》，后半段则把后者的瑕疵都打了个包扬弃。当主角从国族、血统、力量与对立翻转到人类、混杂、沟通与融合，影片的历史臆想语境完全变成了现实，进步与落后、技术与自然的对立也走向汪洋大海的联合。在这个不断崩溃甚至滑落到倒退边缘的世界，居然还是要靠好莱坞宣告虚幻的平等，这恐怕才是处于文化交界处的真正的Crazy Asian温子仁之力量所在。
35,也没多好，也就比雷神好了一百个黑豹吧
