,praise_comment
82,最大优点是节奏极佳，故事就真的很一般很一般。视觉效果的想象力的确厉害，但其实就是水下版陆地奇幻，大部分概念有迹可循，根本谈不上视觉奇观，更不要和阿凡达比。温子仁的DC和罗素兄弟的漫威相比，最大差距是，海王中的人物非黑即白趋于扁平，而美队23妇联34中的角色几乎都是灰色的，好人有缺陷，反派也有魅力，以至于紫薯精这等大反派都有很多粉丝。
83,请问六岁小孩儿看完以后天天拿个两叉戟（晾衣杆儿）在家狂转怎么破？
84,海底打架这么美味的吗……我怎么看到了火爆大鱿鱼
85,其实这个故事我觉得挺武侠的，但是加上温大神的私货，妈呀，化学效果太玩味了。#我DC扬眉吐气一把了
86,好看。特效精彩，想象力丰富。还有男主角太MAN了，好性感！女主角超美的！一路看下来觉得视效很爽，剧情也不错，温子仁水平挺不错。
87,简直神片，星球大战+阿凡达+冰与火之歌+海底两万里+哥斯拉+夺宝奇兵+谍影重重+西游记+圣斗士+魔兽世界…………爽点太满了
88,温子仁牛逼，这部商业片拍得的确很成功，开场后每一秒都是高潮。海王的起源故事更加完整，亚特兰蒂斯王国视效引人入胜。湄拉的选角真的太美了……最后，DC这个故事值得五星。
89,明明是海鲜之王，自己游泳比较快还非要骑个海洋生物
90,擎起金色三叉戟的亚瑟，终于完成了从fishman到aquaman的“进化”。几乎每个80后都曾在《圣斗士星矢》的陪伴下成长。海皇波塞冬和他的三叉戟，曾经是他们童年记忆中的经典画面。据说“海王”亚瑟的原型，正是来自于希腊神话中的海神波塞冬。对于导演温子仁和他的信徒来说，《电锯惊魂》和《招魂》为他培养了无数死忠粉，《速度和激情7》则证明他完全有实力驾驭大型商业片，而《海王》简直给了他一次彻底放纵的权利，和近乎玩嗨的一种尝试。
91,超出预期的好看！摄影好棒！温子仁拍的意大利和沙漠等好几个地方都美轮美奂 尤其是多场海戏 对于我一个热爱大海的人来说简直视觉盛宴！虽是英雄式电影但剧情其实也不低幼 寻找三叉戟带上了和平以及母爱是个好思路 而且诚意满满的143分钟里打斗戏拳拳到肉也是非常过瘾的！湄拉的红头发很美！今次真的要吹爆温子仁！！！
92,8.5分，海王这种硬朗粗犷的风格好喜欢，能感觉到是一部精心打造的电影，摄影很棒，海底国度和人物动物造型都有浓浓的复古科幻风，非常喜欢，而且很衬那种“long live the King”的气场，原声贴合主题，没有一味强调气势，柔和中有力量。DC宇宙中，海王有点二，小闪是真萌，大超老爷相爱相杀，神奇女侠颜值担当，钢骨……额。
93,"1.温子仁的才华和审美都是顶尖。破船战海沟族，依稀可见电锯招魂恐怖片的气氛。海底探险，穿插少年成长戏，优秀的夺宝超英片。节奏紧凑，对于爆米花电影的掌控力也是炉火纯青。杰森·莫玛和艾梅柏·希尔德身材一个比一个火辣，打斗场面和盔甲造型也不错，造型神似圣斗士。画面五彩斑斓，视觉效果很赞。

2.水平高于正义联盟、蝙战超等片，可以与复联系列掰手腕。但没有达到星球大战和魔戒的水平，用此来尬吹的太过头了。

3.以及把海王拿来和诺兰蝙蝠侠三部曲来比的，麻烦去医院治治眼睛，根本就不是同一个风格的。硬说成海底阿凡达的也够了，很爱温子仁，但请不要捧杀他。"
94,宏大如英雄史诗，七大王国和权斗让亚特兰提斯和背后的世界观变得气势恢宏；好笑浪漫如生活片，主角作为outcast第一次适应新身份有着很古怪可爱的反差萌。前段的背景铺陈不冗长，中段用爱情亲情调剂，最后再大气收尾，编排得不让人无聊。此外Nicole和Amber组成了超英片里女性角色最高挑亮丽的“风景线”。特效中的“飞水风中转”和“万兽齐游”很壮观，算是一个不错的开局。
95,多个一星，给最后的孙悟空。讲的是找龙王借定海神针，率领虾兵蟹将斗败六耳猕猴的故事。讲的也是青铜圣斗士角斗失败后找到黄金圣衣，战胜白银圣斗士的故事。影片的动作场面大大优于舞美，海底世界大概齐有西游记的影子，至于服装造型就更有些露怯。漫威DC的最大贡献在于把罗马半神人的形象具化了，贡献了男有美队雷神黑豹海王女有神奇女侠黑寡妇海后一系列长腿波霸。
96,看的很过瘾，各种元素调配的恰到好处，是部成功的商业片。好巧不巧的是我前段时间写的一个科幻中篇，也是写的亚特兰蒂斯，然后看电影时会不自觉对比，我描述的场景好土！然后，全程羞愧，怀着破碎的小心脏冒着冻雨走回家，觉得自己写的就是狗屎😭
97,吹爆温子仁！文戏尴尬但是武戏太slay了完全不够看，还非常私心地加了几场jump scare。DC真人电影终于有翻身的一天了我爆哭
98,本来想打四星的，特效无敌了，很牛逼，但是剧情太老套，扣了一分，但是妮可基德曼的颜值又拉回来了，好吧，就五星了，推荐。
99,特莉丝梅丽葛德大战钢铁兄弟会！
100,我站小王子！一个缺爱的中二少年。音乐厉害，虽然一段一段连不太起来（西西里房顶上忽然就超级玛丽feel了），但胡来得很带劲。
101,海底的亚特兰蒂斯世界，就是星战＋阿凡达＋指环王完美融合的世界！show off！Aquaman fucks me!最后一幕太show off！
102,看完最大感受是P1S 正联 雕像即将大热卖、、
103,流畅的运镜、瑰丽的奇观和张弛的节奏足以值回票价，更让我兴奋的是温子仁集商业类型元素大成——从「哈姆雷特」的王子复仇到「古墓丽影」的惊险探秘，从「印斯茅斯的阴影」的克苏鲁恐怖到「罗马假日」的唯美爱情——打造出一部难以定义的新超级英雄电影。然而最让我惊喜的还不止于此而是，温子仁在一个西方希腊神话故事的外衣下暗藏了一个东方功夫宗师传奇，东西方的文化元素在温子仁手里玩味得如火纯青，这一点比朱浩伟的全亚裔「摘金奇缘」更加值得赞许。当然以上三点是在牺牲了人物形象塑造与主题表达统一的基础上实现的，这也是《海王》最大的遗憾，因此《海王》可能算不上神片，但绝对是DCEU的救市之作。
104,视觉的确美爆了。同时也中二极了（in a good way）。小美人鱼喜欢拿了金箍棒的孙悟空，可以理解。但是为什么Patrick Wilson还这么年轻好看？我站王弟这边呢，他的纲领只要去掉吞并海底诸王国这条，就是对的。最爱深海沟里群怪围着一团红光那个画面。
105,"“妈，你也支持我哥吗？”
“你们都是我的孩子，我一样爱你们…”
“好的，妈，再见。”"
106,"7.9
超英的崛起都大同小异，就看特效能否合乎心意，近身肉搏屋顶跑酷好似素鸡动作戏，海沟下潜展现恐怖才华功力，一路寻宝风景瑰丽，角色众多还数妮可最为美丽，别吹什么海底版魔界指环王星球大战这就是属于温子仁的西游记。"
107,温子仁的确打造了一部与众不同的DC电影，把他擅长的元素都加了进去，开场就定下恐怖基调，然后来了一波曾经最熟悉的温子仁式动作戏（室内环绕运动镜头和90度的翻转镜头）后面还塞了不少速激式摇滚乐，就这点来说温子仁成功把他所长之处很好地结合进电影里。叙事模式上多次转场来交代前情或推动剧情，使得前中期叙事效率高，让人感觉超英电影里那些尴尬台词文戏不太冗长，且能照顾多故事线，但也因此让每条故事线情感都不饱满不够有说服力，最让人失望的是越往后画面越来越精彩（的确有海底指环王之势），但随之给主人公设置的障碍越来越低，尤其在取三叉戟那段感觉是真的编不下去或者没钱了，最后拿到三叉戟之后更是一路顺风，终归还是没写好第三幕。这部DC如果大爆之后，扎导可能真的就凉透了，执行制片人署名扎克施耐德太讽刺了。
108,一定要去看iMax，一定要去看iMax，一定要去看iMax，特效吹爆！！！！！明天去二刷！！！！
109,看完特别饿，想吃海鲜锅。
110,超级大爽片。离《阿凡达》《指环王》这样的经典只差一口气。说到底，还是情节太赶了。作为观影人而言，十分满足，只是少些回味。
111,海王如何拯救了亚特兰蒂斯没让他们攻上陆地碰到超人的故事
112,【8.2】在两个多小时的时间里温子仁讲好了一个俗而不烂的故事，带我们领略了前所未见的海底奇观，以及海王和媚拉精彩的冒险之旅。作为一个超英起源故事，这个世界观的铺垫和场面的呈现已经是非常庞大了。只可惜在故事的深度上没有深挖一笔，哪怕最后刻意煽情下也好啊！温子仁的运镜，已经对于商业元素的运用在二三幕集中爆发，拯救了平庸的第一幕。至于那个烂的要死的配乐我真的不想提了，让他就地活埋吧！！
113,没看过的电影太多只好挑一部最热门的海王，托这个电影的福，没看之前我真不知道自己有深海恐惧症，也没有看到网友剧透说影片中将出现大量的巨型雕像，所以我深海恐惧和巨型雕像恐惧症一起发作，我看的还是巨幕！差点一口气没上来死在电影院里！断断续续看完了全片，深深被海王荷尔蒙打动，希望有朝一日他能抽空强奸我……
114,嚯！圣斗士要这么拍多好啊～跟看海皇篇似的～白银果然还是干不过黄金啊！DC这次表现还不错～
115,Salav nos Star of the sea                                                      看了一场上天入海的侏罗纪、阿凡达、异形、指环王、海底二万里大戏。海花乱坠～终于从海王这里get到了肌肉之驱的美感193小公主名不虚传～ps威尔森已经是温导的御用男演员了吗？好想问妮可驻颜术是怎么练的，颜值仿佛回到《小岛惊魂》时期简直太抗打。女主海底装很像是穿了紧身衣的小美人鱼。哦！btw最后的彩蛋我只想问为什么黑人兄弟你的命那么硬？期待温子仁来拍第二部
116,吹爆小温！作为一枚顶级恐怖片导演小温的审美实在太优异了！！！视听水准甚至超过watchmen成为我心中的NO.1！很中二，很西游记，奇妙的没有一个我特别喜欢的演员但每个角色都很讨喜。什么时候正儿八经的西游记能到人家这种工业水准啊…（哀怨的看着老怪…（最后！克总万岁！！！！！
117,3.8星+。温子仁步步封神，逆转DC颓势，送上这部有打有笑有泪的爆米花，将超级英雄solo片拍出如此大的格局，实在是高！史诗感融合中二感，DC目前节奏最好的一部。1.海王真特么狂野，湄拉真特么酷，妮可基德曼一米八大个儿一般男人还真驾驭不住哈哈。2.确实拍出了水下版《星球大战》的feel，配乐劳苦功高。3.海底一族的扮相非常“东海龙宫”，总有种进化不完全的感觉，而且弄得我有点想看海王大战哪吒和四海龙王。4.喜欢海王湄拉出海和西西里风光那段。
118,人类真的很幸福啊，各种大反派都想毁灭地球和人类，结果总有英雄站出来帮人类把问题摆平，最后人类看着正邪对决大战说“打得真好看”。
119,#年度佳片#分明是一部DC商业大片的标配，却被拍出了《王者归来》一般的史诗格局。除了工业光魔让人叹为观止的特效场面，还有Amber Heard与Nicole Kidman两大美女倾国倾城的颜，拥有魔鬼身材的长发海王，他被称为血统不正的野种，依然可以号令群雄称霸海洋，为爱人老妈奋勇杀敌的古典故事，励志有爱又很燃，而海底如梦如幻的美景更为影片加分不少。不得不说，温子仁给华人长脸了，对他的下一部已经有些期待了。
120,越来越感觉到，流行文化中的绝大部分，本质只是对经典与伟大作品的模仿和荟萃。不是说它们不好，而是如果我们浅尝辄止，停留于此，只会成为流行文化的奴仆。
121,自2014年《X战警：逆转未来》与《银河护卫队》以来（我看过）最好的超级英雄电影。亚特兰蒂斯入侵咸水族的场面闪回到了《星球大战2:帝国反击战》，只不过将场景从外太空移植到了海洋中，相似的是卢卡斯和温子仁二人对特技场面的极致追求。如果没有看过《海王》，我会认为曾经看到的就是如今特技技术的顶尖水平，因为温导知道如何利用特技，最大程度的挖掘特其优势，跟随海王的视角，观众得以窥见海底世界的一角，从瑰丽的亚特兰蒂斯王国到阴森恐怖——夹带私货的海沟族领地，从无尽的沙海到神话中的地心藏海，满足你对海洋文明的一切幻想和对幽暗深海的一切恐惧，就是这一角便足以让观众大饱眼福。
122,这大概是DC的超级英雄电影中最不是差评的一部大片了
123,不再强行黑暗的DC，终于奉上了精彩的电影。温导成功的营造出了瑰丽宏大的水下王国，并且不失本色的多次加入了jump scare。亚特兰蒂斯拍出了真正的潜藏高文明，原始体系和超高科技的结合。单打独斗的动作戏酣畅淋漓，群情鼎沸的战争戏恢宏壮阔。人物角色个性鲜明又印象深刻，王者风范的海王、性感妩媚的海后、美丽动人的女王、野心勃勃的奥姆王、深仇宿怨的黑蝠鲼……遗憾的是，海王海后的背景和亚特兰蒂斯的情况，都与《正义联盟》产生了逻辑矛盾。
124,我不懂为什么口碑这么好诶。当然特级很炸了，但是故事真是让人毫无感觉嗷。没有一个人有性格，没有人做事有说得过去的原因…
125,实力心疼一波帅弟弟，爸没得早，妈妈不想，舅舅不疼，女友还劈腿，一心致力于环保，辛苦20年结果沦为阶下囚。至今不能相信海王居然靠嘴炮说跑了史前大怪兽，以及最后打败弟弟的绝招竟然是齐天大圣定海神针同款用法（耍棍棍）。良心推荐，画面实在是太美了，带着信号弹驱散海怪坠入深渊一幕太梦幻了。不过话说回来，人类倾倒的石油和垃圾怎么处理请海王陛下下集好好讲一下。
126,咸水王国国王的蟹钳被砍下来的那一刻，我饿了。
127,［A+］IMAX零点场首映，《海王》无疑是一部前所未见的超级英雄影片，温子仁导演再次证明了他对大制作有着出色的掌控能力，且富有才华。超凡想象力+精良特效为观众展现出了绚丽夺目的海底奇观，颇有水下版阿凡达气质。剧本稍显简单，不过全程大场面，节奏紧凑毫不拖沓，陆地到海洋，海洋到陆地打到爽，寻找三叉戟还有几分寻宝冒险片的味道。海马，鲨鱼，沧龙，蝠鲼船，巨蟹机甲等看的一本满足，海沟野蛮人简直是异形的升级版，令人激动不已。卡拉森怪兽出场帅爆！可惜总共没有多少镜头，略感遗憾。此外影片虽设置了些许笑料，但没有像漫威那样迎合市场般放肆，尽可能的侧重人物形象，打造DC应有的品质和风格，这十分可贵。
128,简直是后摇加旋死加新世纪啊，妥妥的北欧范儿，乐迷的好福利啊。
129,特效太惊艳了吧，海底大战这个气势恢弘完全不像投资1.3亿啊，各种恐怖电影梗真让人开心，湄拉的脸海王的脸奥姆的发际线真让人想舔，西西里岛配乐的电子游戏感真可爱！情节剧嘛不就是看个爽，还要啥人物弧光又不是拍艺术电影，过不过分嘛！
130,随意翻了下打三星的网友的主页，结果10个中有9个近期给漫威打了五星然后反手在这打了个三星以下的评分，太真实了吧😂
131,1、白素贞和救命恩人许仙结婚生子，却被不懂爱的海法拆散。2、杨过十六年后绝情谷底再见妈妈小龙女。3、孙悟空在东海拿到了定海神针，一统七海，封圣称王。4、温子仁不愧是华裔导演。
132,宣发是不是太低调，比起去年正联的易拉宝和海报还有周边，低调必成大器，pls explode. @武汉壹方百丽宫
133,"有明显缺陷，但整体来讲还是太震撼了。
即使片长达到140分钟，还是感觉很多地方只能简单略过。有些笑点比较一般，流行歌曲的插入有点突兀。

但除此之外，优点之多完全掩盖了缺点。特效，色彩运用，动作设计，服装设计和战争场面均是全年最佳(甚至是阿凡达之后最佳)。温子仁用1.6亿的成本，拍出来4亿的效果。

他还将他出色的镜头运用在这里发挥的淋漓尽致:大量令人窒息的慢镜头，跟随镜头，长镜头和旋转镜头。

最后的战争场面是星战+指环王+哥斯拉，最后的单挑决斗时海王的王者气息爆棚，整个过程行云流水，叹为观止。

9.25/10"
134,海王有一样过人之处：跟鱼说话。不要以为这是一种没有什么了不起的功能，跟海底的动物说话，倾听他们的真正想法，这是一位贤君才会做的事情，动物在海底世界是最低等的，代表着“底层人”，也就是老百姓，海王赢得了民心，所以他才能得到权杖，他是人民的选择，而不是一个养尊处优的高高在上的国王。他就是海底版的“平民政体创始人”忒修斯
135,dc放弃了剧情，全靠特技。海底阿凡达版夺宝奇兵。这个故事告诉我们，出身不行不要紧，关键是会一门别人不会的外语，出国回来镀个金，就贼牛逼了
136,全程无尿点，从头打到尾，史诗级场景，非常优秀的套路商业片了，温子仁用海王和速激7证明了他并不只会拍恐怖片。另，招魂潜伏的男主这回不驱魔，改行啦。
137,140分钟的电影，到底讲了多少个故事？美人鱼、定海神针、火影忍者、小蝌蚪找妈妈，需要这么多梗吗？还有这位导演总是突然爆炸、您拍恐怖片拍惯了吗？？？
138,应该算是今年超级英雄电影里到目前为止最喜欢的一部了。
139,抢我王位还抢我老婆，当老二就是命不好
140,面对马王我还能说啥，身材美丽的大牲口哟！！！嗯，而且他由于骑了海马，从马王升级为海马王了……女主很漂亮，就是她的礼服裙，脖领子那一串老醋蛰头让我有点出戏~
141,1.amber也太能打了 这么美的红发媚拉好圈粉阿 dc挑女英雄的眼光还是很独到的 2.希望每次切地图的时候 配乐师能冷静一下 3.海王作为元老级别二线英雄 之前对他的印象居然是少正里面海少家的头头...一直以来作为一个辅位角色 还原其起源身世 有着非常超英特色的家庭结构 一个没什么可聊的 正统的真海选之子形象 居然觉得帅到爆炸 一定是被花里胡哨的特效迷惑了 4.超喜欢水下世界里 人物飘荡起来的头发 5. 二 刷 了
142,1. 如果Aquaman是海王，那Kidman就是孩子王没错了，也十分符合剧情[笑cry] 2. 海王他弟一直让我想到道明寺？！3. 海盗素不素审美观有问题，刚给他的时候白金色的武器多好看啊，非要改装成个大蚂蚁...
143,二刷imax版后加一颗星
144,“我们已经错过了在大屏幕上看魔戒的年代 还好我们还有海王”
145,漫威电影宇宙像英雄聚义，一个个先单打独斗，最后为共同信念合为一股。DC电影宇宙似乎反过来，登台大合唱，再轮番solo。想了想，原来这是偶像套路啊，那我们只管打call就好啦。DC还有个风格，就是每个人的故事都恨不得讲许多，情节非常饱和，尤其考验导演。还好海洋里无分上下左右，温导的旋转镜头和画面切换游刃有余，让童话与恐怖片、粗暴与优雅并存。印象深刻的画面很多，亚瑟与湄拉潜入海沟国的场面分明是多雷的《神曲》，冲上海岸小镇的巡逻艇让人想到《幽灵船最后一次航行》，灯塔就想到显克微支《灯塔看守人》，地心藏海则是《地心游记》。人类眼中的海与亚特兰蒂斯人的海都游历遍了。另外，梗也不少：先是克总，接着海皇祭坛和七海帝国仿佛圣斗士，Kraken竟然是八尾，沙漠桥段又像蝎子王之类冒险剧。好了温导，不要去拍鬼片了，继续这系列可好？
146,故事虽然从开始到彩蛋都蛮俗套的，但去电影院看大片就是看巨幕特效啊，反正第一次进入亚特兰蒂斯王国和海王举着三叉戟出来的时候，我都惊叹的“哇”了一声就够了，全程爆燃，同时满足了男性观众和女性观众的荷尔蒙刺激和激情幻想，把近五年的大片高潮全部糅合在一起，导演就是这么牛，想去二刷
147,漫改我还是喜欢这种主线清晰，人物成长路径明确的。海王的个性算是鲜明，当然更鲜明的是他的肌肉。女主作为brainy去搭配，人物的互动和剧情的推动节奏快不尴尬。海底世界做得很漂亮。水底打斗的镜头看得出费了不少脑筋。追击戏也带感。爆米花电影看得挺爽快。
148,海王最精彩的群战场面，居然是大闸蟹大战皮皮虾……虽然看上去是关于二婚后，两子夺嫡的传统故事。但这在本质上涉及到了立嫡还是立贤的问题意识。这是肥肠新清史的叙事讨论，学好新清史，走遍七海都不怕。
149,剧情是真老套，台词是真幼稚，特效是真酷炫，妮可是真女王。《海王》算是给dc及时止血，接下来华纳要稳扎稳打别再出昏招了
150,克系+賽博朋好看，也看到章魚打鼓了，可愛可愛！派翠禿的演技在裡面太豪華了，最後大團圓真好？這片的美學好喜歡，溫導拍不拍克片？
151,武术指导不会是六小龄童吧？
152,四颗星分别给：克苏鲁元素（第一幕从房间内到灯塔上的转场镜头特意给了H.P.洛夫克拉夫特的名字一个特写）、古罗马元素（象征荣耀的华美雕塑变成沉没海底的断壁残垣）、性感的渔夫亚瑟王与美丽的亚特兰蒂斯女王。
153,"视觉奇观
温子仁牛逼！"
154,Make Atlantis Great Again！
155,海王刀枪不入，怎么做的刺青！？
156,看之前实在是被潮涌般的好评给吓到了，看完后表示……hm确实是还不错，但也不至于吧……除非是和DCEU之前的片子比！哈哈。确实不得不佩服温子仁掌控商业电影的能力，将暗黑与轻松结合的非常好。而且，其中Nicole和Amber两位女将各自打戏中的运镜也是酷炫到飞起，到底是亚裔，比其他好莱坞导演只会用碎到掉渣的剪辑来拍打戏强到不知道哪里去了。海底世界的塑造和视效也是异常拔群，让人不断感叹这到底是怎么拍出来的。但是整体看下来很难说突破了超级英雄片的窠臼，故事还是那样的故事，人也基本还是那样的人，只能说不功不过，很成功地完成了任务，但也没什么大的惊喜。
157,看了0点首映，果然不负外媒热评。超喜欢这类够MAN的英雄，这才是标准硬汉！我觉得DC的神奇女侠和海王要远比漫威的单体英雄要好看得多，至少达到复联级别的精彩。漫威太追求复联反而单体的剧情太薄弱了。海王场面壮观剧情出彩，可惜妮可和安布尔都是小胸妹。看完出来解急，站旁边的一大叔边尿边说：我草，太TM壮阔了，从没见过这么多的鱼……
158,炸裂，DC终于会讲故事了，不过也失去了点传承性的思考方式。有点像时髦值满点的Indiana Jones，也有点像没把故事说死之前的marvel。怎么说，多花点钱选块好屏看吧，物超所值
159,"这回轮到我们给北美剧透了hiahiahia —— 12.02
温子仁🐮B，拍了一部集合动作、冒险、奇幻、超英等元素的视听盛宴。IMAX观影效果爆炸的好，特别是音效。打斗场面也跟其他只有特效biubiubiu的特效片不同，大部分都是拳脚兵刃硬碰硬。有笑点也有一惊一乍恐怖的地方😂，观影时左手边的女孩子有三四次被吓得身体一抖。★★★★★ —— 12.08
豆瓣现在完全沦为低端黑的聚集地了，注册个账号，想打几分打几分，隔壁猫眼电影淘票票什么的最起码还得买过票打分才算数。 —— 12.19"
160,海王牛批，故事线密集程度极高，比起漫威从第二阶段的加长版抖音电影不知道高到哪里去了，认真讲好了一个故事，可怜的是居然有人认为蜘蛛返校季季雷神3之流拍得比这好……国内人群的审美居然低到这种层次了，着实可惜
161,那些个说剧情有漏洞的我也是服了，除了诺兰老爷子拍的蝙蝠侠其余的超级英雄哪个有剧情？你说你吃个老婆饼还非得里面有老婆，这不是挑刺吗。特效及打斗场面无解，镜头运用的也很精妙，对于亚特兰蒂斯这个国度的诠释很饱满。超级英雄里面，Batman第一，Aquaman第二。
162,真左派与温和左派的路线斗争，不用说，修正主义再次取得可耻但可贵的胜利——彩蛋没时间看，问工作人员了
163,热血漫
164,的确是冲着“史诗超英片”去的，瑰丽壮阔，也很燃。不说比拟，但着实会想起指环王的排场、千星之城还有西游记的定海神针。不认同“丢了暗黑风DC什么都不是”这样的说法，也没人规定DC本应该怎样，温子仁对大场面的调度和对140分这样片长的节奏掌控，已经非常纯熟了，但随之而来的缺点就是过于依赖奇观的堆砌，塞得太满而缺少透气——王位之争败下落荒而逃，直至拿到隐藏武器三叉戟，这个过程中海王内心成长塑造是缺失的，也缺少“成海王”的说服力；海陆间的对立面、亚特兰蒂斯种族之间的博弈也都被轻描淡写带过。这些都让故事更倾向于“童话“向，而少了DC宇宙的真实感。”或许真的只有拍到3个小时，故事更有深度，才能担得起“史诗”二字吧。
165,温子仁为DC电影宇宙带来了早应具备的娱乐价值，在叙事节奏的把控、激战的续航、场面的编排上极为突出。尽管文戏部分还存在着探讨空间，但存在于影像中的律动和纵深，实在难得。温子仁不仅为DC，更为未来商业片的发展方向提供了更多可能。
166,中二，帅，爽爆！by差点被尿憋死的我。
167,在《海王》的价值体系中，背叛与忠诚从来不是完全对立的，所有人都可能从硬币的一面走到另一面。亚瑟貌似背叛了给予他超能力的亚特兰蒂斯，却最终成为亚特兰蒂斯的王，守护着海洋和陆地的生灵；亚特兰娜女王背叛家国，忠于自己的爱情，但被流放至海沟国二十年，仍心系亚特兰蒂斯子民的安危；湄拉和维科背叛了奥姆，却又何尝不是因为对国的爱战胜了对君主的忠。再看反派奥姆，他血统高贵纯正，看似忠于亚特兰蒂斯，但他妄图把大陆化为焦土的计划又何尝不是把亚特兰蒂斯的子民一步步推向深渊。
168,4星半，漫改英雄片文本上基本都一个套路，尤其英雄起源，不要指望有什么高深的意义，而视觉呈现以及场面调度，海王不就洗去DC一直以来晦气，更加超越漫威任何一部英雄起源电影。
169,视效绚丽，松弛有度，从寻母，复仇，夺宝，争王等架构出海王传。#彩蛋在长字幕前就出了，太良心！#DC粉丝一本满足，且永不服输！
170,温子仁！温子仁！温子仁！还有妮可基德曼！然后没有了！
171,温子仁+黑豹+雷神+银河护卫队+魔戒。这其实像极了一部漫威电影，这也是为什么它如此好看。
172,虽然故事有点中二，剧情也很简单，但是导演温子仁厉害啊，特效厉害啊（请一定要看3D，IMAX版本），那个海王的胸肌简直，哎，害我一个男性也想去摸摸（还有，他紧身衣的裆部不难受吗？）。可是呢，就是有点讨厌他总会让我想到徐锦江。
173,看了几个评论，总结就是DC拍了一个漫威风格的超级英雄片，有人叫好说DC翻身仗，有人不喜欢认为丢了DC魂…
174,温子仁，DC救市主。将古典浪漫的“柔”与超英大片的“硬”相融完美，间中藏丧尸异兽等恶趣味，可以说相当“温子仁”了！希望剪成四小时、上下集版本，目前太满，牛逼不该成连环屁状发射呀～
175,虽然海王的豪乳粗腿让人湿裆，但是我想说好喜欢公主啊！！！这公主也太棒了吧！！！
176,导演居然是温子仁……锁了🔒
177,很好看啊，视效满分海底龙宫（误）长得太符合我想象了，就是马王最后那个造型实在是太像一根玉米棒子了...妮可基德曼返老还童...
178,很不错的奇幻爆米花商业片。IMAX3D效果确实爽，2个多小时毫不冗长。在剧情无法突破俗套的前提下，整体走视觉奇观的路子是对的。动作戏和长镜头设计也可圈可点。无重力的海底就是外太空的翻版，但景观更华丽，角色活动更加自由，加上奇幻的背景设定、用心的设计、全片特效包装。上天入海，奇幻科幻亲情爱情动作冒险恐怖元素俱备。秒杀《黑豹》
179,"1.奥姆真是惨，女朋友被哥哥抢走，谋士最信赖哥哥，被哥哥夺了王位，最后好不容易见到母亲，却对他说：孩子我支持的是你的哥哥😂
2.如今的特效电影已经不是靠炫彩的光线（复联2）,凶猛的怪兽（骷髅岛）和宏伟的战舰（超级战舰）来满足观众的需要了。温子仁真正明白怎么让观众高潮☺
3.140分钟的特效大片，竟然只花了1.6亿美元。扎导在角落哭泣😔
4.应该只有DC粉明白，我作为一个DC粉，在经历DCEU即将崩溃之后看到海王最后从水中跃起的那一幅画面时的心情。那时，我的心是抖的，手是麻的，眼是湿的（有点诗意😜但绝对是我当时的亲身感受）
5.入了DC这么多年，别人怎么看不起DC，怎么追捧漫威都无所谓。因为不喜欢DC的都是傻屌😡"
180,『海王』的故事告诉我们：多会一种语言有多么重要~
181,如果说前面还抱着去judge的态度，到海沟那部分就完全被视音效征服了，简直是商业之下的克苏鲁极致
182,温爸爸拯救DC于水火之中
183,剧情可以说是完全没有，但温子仁实在是太了解观众想看什么了。各种类型元素往里面加，每种都在视觉和调度上做出了新意。温导真是不可多得的类型片全才。
184,按说是三星，但这毕竟是蚊子肉，不对，是温子仁，三星半往上点吧。我也不知道吃错什么药了，老是在笑，海王一穿上金黄色盔甲和蓝色紧身裤我就笑爆了，最后公主举起海王的手高呼万岁时那走步，我又不知道怎么就想起了夜场里那些领舞，还有不少恶趣味，可能导演也没想那么多，总之我乐得一逼。严肃的说，故事老套，CG也视觉疲劳了。全靠温导的调度，让我在看到自以为的恶趣味笑的同时，没有睡过去。
185,DC宇宙水准之上，比神奇女侠更惊喜，视效一流，配乐和片尾曲更是一大亮点。不得不说温子仁牛逼，毕竟拍恐怖片拿手，很懂得如何刺激观众的肾上腺素分泌，好几个镜头吓了我一跳。但是再吹就过头了，所有的惊喜还是在类型片的范畴之内，划时代之类的词儿别轻易往上堆。
186,很好看，但并不比神奇女侠好看，但有我男神patrick willson!!!!!! 我还买了vip厅，躺着看男神！
187,温子仁，二代山姆·雷米正式达成！
188,剧情呵呵呵就好。海底世界水下奇观的构造绝逼不逊《阿凡达》。7.6
189,海与陆的碰撞，力与美的结合。海王是所有超级英雄里最会凹造型的没有人反对吧。
190,他们又是漫威又是DC，中国是不是也该整一整中国的超级英雄了？中国的斯坦.李，我们在呼唤你！（天幕新彩云）
191,看的零点首映，愣是把原本哈欠连天的我看到精神的可以去蹦迪，深海恐惧症什么的都要不治自愈了。虽然英雄成长故事都差不多但丝毫不影响我全程被打肾上腺激素，杰森莫玛和安柏两人浑身散发的男女荷尔蒙快把我包围了！有冲击力也有快感，是一部实打实的硬派英雄电影！
192,这么多迷影元素和类型杂糅，把单体超级英雄的体量直接提到了复联的级别，也算解决了超英目前结尾高潮早泄的囧状！不过建议温子仁和速7一样，见好就收，下部要想再拿点新东西出来，怕是很难了！
193,温子仁的电影就和他的名字一样帅气。
